Indicator,Measure,Year,Jan-Mar (Provisional),Apr-Jun (Provisional),Jul-Sep (Provisional),Oct-Dec (Provisional),Year-to-Date (Provisional),County,URL
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,5,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2019.0,6,<5,<5,<5,15,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2019&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2019&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,5,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2019&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2019.0,0,0,0,0,0,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2019&selTab=1
Opioid Overdose Deaths,Count,2015.0,2,0,2,0,4,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
Drug Overdose Deaths,Count,2015.0,2,1,3,,6,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,7,3,14,16,40,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,16,14,24,24,78,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,20,26,24,21,91,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,8,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,6,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,9,16,9,16,50,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,5,11,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,5,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,0,3,3,2,8,Suwannee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=61&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2020.0,0,1,,,1,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
Drug Overdose Deaths,Count,2020.0,1,1,,,2,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2020.0,4,8,3,,15,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2020.0,8,14,17,,39,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2020.0,6,8,13,11,38,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,<5,<5,<5,<5,10,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,<5,<5,<5,<5,<5,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,<5,<5,<5,<5,<5,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2020.0,13,22,13,17,65,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,14,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,<5,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,9,15,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2020.0,1,1,1,2,5,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2020&selTab=1
Opioid Overdose Deaths,Count,2020.0,5,7,,,12.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
Drug Overdose Deaths,Count,2020.0,8,11,,,19.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2020.0,0,1,1,,2.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2020.0,132,125,116,,373.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2020.0,63,68,66,75,272.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,17,22,21,39,99.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,5,7,6,12,30.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,<5,<5,<5,7,15.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2020.0,58,61,59,72,250.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2020.0,13,22,23,20,78.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,10.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2020.0,8,8,5,11,32.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2020.0,7,8,10,5,30.0,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2020&selTab=1
Opioid Overdose Deaths,Count,2020.0,58.0,70.0,,,128,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
Drug Overdose Deaths,Count,2020.0,75.0,83.0,,,158,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2020.0,24.0,38.0,44.0,,106,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2020.0,492.0,608.0,613.0,,"1,713",Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2020.0,362.0,412.0,392.0,343.0,"1,509",Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,171.0,221.0,198.0,158.0,748,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,42.0,57.0,44.0,28.0,171,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,23.0,25.0,19.0,11.0,78,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2020.0,182.0,242.0,241.0,214.0,879,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2020.0,74.0,117.0,120.0,76.0,387,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2020.0,9.0,15.0,12.0,9.0,45,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2020.0,25.0,42.0,40.0,27.0,134,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2020.0,18.0,18.0,18.0,14.0,68,Pasco,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=51&ddlYear=2020&selTab=1
Opioid Overdose Deaths,Count,2017.0,121,213,164,149,647,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
Drug Overdose Deaths,Count,2017.0,151,262,207,172,792,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017.0,"1,133","1,977","1,136",908,"5,154",Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2017.0,"1,488","2,426","1,520","1,272","6,706",Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2017.0,"1,059","1,682","1,043",921,"4,705",Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,666,"1,254",682,574,"3,176",Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,534,980,556,458,"2,528",Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,37,47,34,31,149,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2017.0,446,544,459,382,"1,831",Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017.0,175,234,171,130,710,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017.0,83,140,78,51,352,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017.0,63,84,68,47,262,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2017.0,55,45,42,33,175,Palm Beach,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=50&ddlYear=2017&selTab=1
Opioid Overdose Deaths,Count,2017.0,18.0,13.0,16.0,19.0,66.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
Drug Overdose Deaths,Count,2017.0,22.0,14.0,19.0,23.0,78.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017.0,29.0,32.0,33.0,28.0,122.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2017.0,84.0,90.0,90.0,74.0,338.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2017.0,98.0,108.0,119.0,141.0,466.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,31.0,29.0,53.0,68.0,181.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,26.0,14.0,33.0,43.0,116.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,10.0,10.0,9.0,5.0,34.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2017.0,97.0,110.0,106.0,112.0,425.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017.0,25.0,37.0,36.0,28.0,126.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017.0,6.0,16.0,12.0,7.0,41.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017.0,12.0,13.0,22.0,19.0,66.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2017.0,14.0,13.0,23.0,16.0,66.0,Osceola,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=49&ddlYear=2017&selTab=1
Opioid Overdose Deaths,Count,2017.0,0,0,0,0,0,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
Drug Overdose Deaths,Count,2017.0,0,1,0,0,1,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017.0,0,0,1,0,1,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2017.0,4,4,4,1,13,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,<5,<5,<5,7,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2017.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,<5,<5,<5,<5,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2017.0,0,1,0,0,1,Lafayette,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=34&ddlYear=2017&selTab=1
Opioid Overdose Deaths,Count,2015.0,17.0,16.0,29.0,19,81.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2015&selTab=1
Drug Overdose Deaths,Count,2015.0,19.0,19.0,36.0,23,97.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,69.0,75.0,50.0,0,194.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,165.0,221.0,107.0,9,502.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,114.0,140.0,199.0,135,588.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,50.0,44.0,98.0,31,223.0,Sarasota,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=58&ddlYear=2015&selTab=1
